date_posted,job_title,url,company,employment_type,location,salary,currency,valid_through,jenis_kelamin
2022-10-02T13:09:29+07:00,Web Developer,https://www.jobs.id/lowongan/MjkxNzE2/web-developer-kinarya-alihdaya-mandiri-pt?qt_ref=search&qt_page=33&qt_pos=16,Kinarya Alihdaya Mandiri PT,FULL_TIME,Jakarta Selatan,Negotiable,IDR,2022-10-22,Pria/ wanita
2022-10-02T19:32:58+07:00,Finance &amp; Accounting Staff,https://www.jobs.id/lowongan/MjkzMzc2/finance-accounting-staff-karunia-global-school?qt_ref=search&qt_page=33&qt_pos=17,Karunia Global School,FULL_TIME,Jambi,Negotiable,IDR,2022-10-22,Pria/Wanita
2022-10-02T10:02:11+07:00,Staff Admin Sales ,https://www.jobs.id/lowongan/MzI1MTY4/staff-admin-sales-elabram-systems-pt?qt_ref=search&qt_page=33&qt_pos=18,Elabram Systems PT,FULL_TIME,Kuningan,1900000-3241000,IDR,2022-10-12,Pria/Wanita
2022-10-02T19:04:33+07:00,Claim Analyst,https://www.jobs.id/lowongan/MzE4MDA0/claim-analyst-provis-garuda-services-pt?qt_ref=search&qt_page=33&qt_pos=19,Provis Garuda Services PT,FULL_TIME,Jakarta Selatan,Negotiable,IDR,2022-10-21,Pria/Wanita
2022-10-02T10:02:18+07:00,Sales and Marketing,https://www.jobs.id/lowongan/MzE4NTcz/sales-and-marketing-asia-garments-accesories-pt?qt_ref=search&qt_page=33&qt_pos=20,Asia Garment&#039;s Accesories PT,FULL_TIME,Jakarta Pusat,2500000-4000000,IDR,2022-10-21,Pria/Wanita
2022-10-02T17:26:36+07:00,Staff HRD,https://www.jobs.id/lowongan/MzI0NTUw/staff-hrd-telmark-integrasi-indonesia-pt?qt_ref=search&qt_page=33&qt_pos=22,Telmark Integrasi Indonesia PT,FULL_TIME,Jakarta Barat,5000000-5700000,IDR,2022-10-21,Pria/Wanita
2022-10-02T10:02:27+07:00,QA Technician,https://www.jobs.id/lowongan/MzIzNjYz/qa-technician-arisa-mandiri-pratama-pt?qt_ref=search&qt_page=33&qt_pos=23,Arisa Mandiri Pratama PT,FULL_TIME,Demak,Negotiable,IDR,2022-10-13,Pria/Wanita
2022-10-02T17:18:08+07:00,Sales Administration,https://www.jobs.id/lowongan/MzI0MjY3/sales-administration-strategic-pestcontrol-pt?qt_ref=search&qt_page=33&qt_pos=24,Strategic Pestcontrol PT,FULL_TIME,Bekasi,4800000-5500000,IDR,2022-10-03,Pria/Wanita
2022-10-02T10:12:14+07:00,STAFF ADMIN ALAT BERAT ( PRIA DOMISILI JAKARTA / BEKASI ),https://www.jobs.id/lowongan/MzI1ODQ5/staff-admin-alat-berat-pria-domisili-jakarta-bekasi-grogol-sarana-transjaya-pt?qt_ref=search&qt_page=34&qt_pos=3,Grogol Sarana Transjaya PT,FULL_TIME,Jakarta Utara,4000000-5000000,IDR,2022-10-19,Pria/Wanita
2022-10-02T17:58:35+07:00,Web Developer/UI Designer,https://www.jobs.id/lowongan/MzE2ODgy/web-developerui-designer-champion-multikarya-pandhega-pt?qt_ref=search&qt_page=34&qt_pos=4,Champion Multikarya Pandhega PT,FULL_TIME,Yogyakarta,2000000-2500000,IDR,2022-10-19,Pria/Wanita
2022-10-02T17:06:24+07:00,SPG Tangerang (SMS &amp; Karawaci),https://www.jobs.id/lowongan/Mjk1NTgw/spg-tangerang-sms-karawaci-karya-sejati-indonesia-pt?qt_ref=search&qt_page=34&qt_pos=5,Karya Sejati Indonesia PT,FULL_TIME,Tangerang,3000000-5000000,IDR,2022-10-19,Pria/Wanita
2022-10-02T19:43:54+07:00,Admin Gudang,https://www.jobs.id/lowongan/MzE5NzIy/admin-gudang-akarya-maha-karya-pt?qt_ref=search&qt_page=34&qt_pos=6,Akarya Maha Karya PT,FULL_TIME,Jakarta Barat,2000000-3000000,IDR,2022-10-18,Pria/Wanita
2022-10-02T10:07:12+07:00,Technical Support Engineer (for Server /Storage),https://www.jobs.id/lowongan/MzI1NzY1/technical-support-engineer-for-server-storage-global-integrasi-gemilang-pt?qt_ref=search&qt_page=34&qt_pos=9,Global Integrasi Gemilang PT,FULL_TIME,Jakarta Selatan,Negotiable,IDR,2022-10-16,Pria/Wanita
2022-10-02T10:56:35+07:00,Content Creator &amp; Admin Sosial Media,https://www.jobs.id/lowongan/MzIxNjM5/content-creator-admin-sosial-media-wira-internasional-teknologi-pt?qt_ref=search&qt_page=34&qt_pos=10,Wira Internasional Teknologi PT,FULL_TIME,Jakarta Timur,4500000-5000000,IDR,2022-10-15,Pria/Wanita
2022-10-02T10:12:41+07:00,Sales &amp; Marketing Executive,https://www.jobs.id/lowongan/MzA4ODU0/sales-marketing-executive-surya-uni-prakarsa-pt?qt_ref=search&qt_page=34&qt_pos=11,Surya Uni Prakarsa PT,FULL_TIME,Bandung,3000000-5000000,IDR,2022-10-15,Pria/Wanita
2022-10-02T16:21:30+07:00,Telemarketing,https://www.jobs.id/lowongan/MzIyNTgw/telemarketing-mahakarya-sukses-indonesia-pt?qt_ref=search&qt_page=34&qt_pos=12,Mahakarya Sukses Indonesia PT,FULL_TIME,Jakarta Utara,Negotiable,IDR,2022-10-14,Pria/Wanita
2022-10-02T10:09:28+07:00,Associate Agency Director,https://www.jobs.id/lowongan/MzE4NTA4/associate-agency-director-evolution-team-agency?qt_ref=search&qt_page=34&qt_pos=13,Evolution Team Agency,FULL_TIME,Jakarta Pusat,10000000-15000000,IDR,2022-10-14,Pria/Wanita
